".ci",".x",".y",".sids",".axisIndex","UKA_app.UKA.Kinase Name","UKA_app.UKA.Median Final score",".ri",".xs",".ys",".y0s"
0,1.1218206058671922,0.7223459785034108,299,0,"EPHA3",0.7223459785034108,0,5591,488,65535
0,0.99140100447112,0.9665762445130504,296,0,"FLT1",0.9665762445130504,0,2303,5823,65535
0,1.6147461288465565,0.9683169060893516,294,0,"JAK2",0.9683169060893516,0,18015,5861,65535
0,1.8087807854370943,0.9753501688205555,289,0,"RET",0.9753501688205555,0,22906,6014,65535
0,2.0220802828601485,0.9780172876344349,286,0,"EGFR",0.9780172876344349,0,28282,6073,65535
0,2.0355957239215736,0.9834011724752374,282,0,"ITK",0.9834011724752374,0,28623,6190,65535
0,1.6558325763930808,0.994373406133986,278,0,"FLT3",0.994373406133986,0,19051,6430,65535
0,1.8403304010004078,0.997160332159069,275,0,"KDR",0.997160332159069,0,23701,6491,65535
0,1.2939818916546693,0.9990282682941882,272,0,"TYK2",0.9990282682941882,0,9930,6532,65535
0,1.2349698778607325,0.9998062813060823,271,0,"INSRR",0.9998062813060823,0,8443,6549,65535
0,1.4369159142349568,1.0061057274819265,264,0,"ROS1",1.0061057274819265,0,13533,6686,65535
0,1.3426323357339576,1.014268234850925,259,0,"EPHB1",1.014268234850925,0,11156,6865,65535
0,1.9884085554239184,1.0201239794999772,257,0,"FGFR1",1.0201239794999772,0,27433,6993,65535
0,1.5562494855311175,1.0280576721950678,250,0,"EPHB4",1.0280576721950678,0,16541,7166,65535
0,1.6999965671492967,1.0290583524957038,249,0,"JAK1",1.0290583524957038,0,20164,7188,65535
0,1.9583844391478746,1.0300625020341572,248,0,"BTK",1.0300625020341572,0,26676,7210,65535
0,1.8173599045535862,1.0351183738240453,242,0,"FGFR3",1.0351183738240453,0,23122,7320,65535
0,1.4441330347527368,1.0361366497463502,241,0,"EPHA4",1.0361366497463502,0,13715,7342,65535
0,1.9429512481455933,1.0422969584511688,235,0,"FES",1.0422969584511688,0,26287,7477,65535
0,1.6448549535034258,1.050669501990758,231,0,"EPHA5",1.050669501990758,0,18774,7660,65535
0,1.9047249452623507,1.051704426973,230,0,"MST1R",1.051704426973,0,25324,7682,65535
0,2.1213556010277186,1.0538229408417275,225,0,"ERBB4",1.0538229408417275,0,30784,7729,65535
0,1.83027076330551,1.0667557420859541,216,0,"JAK3",1.0667557420859541,0,23447,8011,65535
0,1.6375587256007726,1.0678566018994382,215,0,"EPHA10",1.0678566018994382,0,18590,8035,65535
0,2.217655407946912,1.0869070388809967,208,0,"CSK",1.0869070388809967,0,33212,8451,65535
0,1.9924980826495386,1.0938374170403815,207,0,"EPHA2",1.0938374170403815,0,27536,8603,65535
0,2.2187959196267246,1.0985198826900089,203,0,"SRMS",1.0985198826900089,0,33240,8705,65535
0,1.9985986599639745,1.1044448652000132,198,0,"FGFR2",1.1044448652000132,0,27690,8834,65535
0,2.2369844011302633,1.1044448652000132,199,0,"MERTK",1.1044448652000132,0,33699,8834,65535
0,2.2787554097546336,1.1190035853709381,189,0,"PTK6",1.1190035853709381,0,34752,9152,65535
0,2.1947241151676917,1.139206971459225,177,0,"FGFR4",1.139206971459225,0,32634,9594,65535
0,2.121789050678826,1.140501441812224,176,0,"FER",1.140501441812224,0,30795,9622,65535
0,2.263434754447072,1.1457182550733505,174,0,"ERBB2",1.1457182550733505,0,34365,9736,65535
0,2.24515546069273,1.155001238642457,170,0,"TXK",1.155001238642457,0,33905,9939,65535
0,2.092893568185606,1.1673648509949075,169,0,"EPHB3",1.1673648509949075,0,30067,10209,65535
0,2.136717383533316,1.1729677882105407,164,0,"PTK7",1.1729677882105407,0,31171,10331,65535
0,2.2721989915828487,1.1741845550147965,163,0,"LYN",1.1741845550147965,0,34586,10358,65535
0,2.325798243776885,1.1855393058919186,156,0,"ABL1",1.1855393058919186,0,35937,10606,65535
0,2.2143739410778527,1.1957242328709061,151,0,"EPHB2",1.1957242328709061,0,33129,10828,65535
0,2.3054950001299805,1.1986786284949598,150,0,"NTRK1",1.1986786284949598,0,35426,10893,65535
0,2.3168629960136014,1.21838821750685,145,0,"ABL2",1.21838821750685,0,35712,11324,65535
0,2.3001417336976306,1.2431585981655342,142,0,"EPHA1",1.2431585981655342,0,35291,11865,65535
0,2.2747872733357153,1.2607158980441826,133,0,"EPHA7",1.2607158980441826,0,34652,12248,65535
0,2.333061641931356,1.2641457080675251,132,0,"KIT",1.2641457080675251,0,36120,12323,65535
0,2.3818223674805656,1.2981903278230502,123,0,"FRK",1.2981903278230502,0,37349,13067,65535
0,2.3740610535881954,1.3078789069529129,120,0,"CSF1R",1.3078789069529129,0,37154,13278,65535
0,2.3663408823510768,1.3290865150005398,114,0,"BMX",1.3290865150005398,0,36959,13742,65535
0,2.4079009240063307,1.3559160814231705,108,0,"PTK2B",1.3559160814231705,0,38007,14328,65535
0,2.4160471771768206,1.3601948794024454,107,0,"NTRK2",1.3601948794024454,0,38212,14421,65535
0,2.520968812929652,1.373290177492593,104,0,"PDGFRA",1.373290177492593,0,40857,14707,65535
0,2.4083655336001524,1.4275001457202738,93,0,"ALK",1.4275001457202738,0,38018,15891,65535
0,2.5006645219185346,1.4696465964398353,87,0,"PDGFRB",1.4696465964398353,0,40345,16812,65535
0,2.4421154437071735,1.5102102113840075,83,0,"PTK2",1.5102102113840075,0,38869,17698,65535
0,2.466385912352942,1.5194182131708311,80,0,"MET",1.5194182131708311,0,39481,17899,65535
0,2.445826853176394,1.5256671624478326,78,0,"TYRO3",1.5256671624478326,0,38963,18036,65535
0,2.44513099796971,1.5384414504842616,74,0,"TEC",1.5384414504842616,0,38945,18315,65535
0,2.5604213597938075,1.5516028965422324,71,0,"LTK",1.5516028965422324,0,41851,18602,65535
0,2.5110274787044324,1.55495653854982,70,0,"FYN",1.55495653854982,0,40606,18676,65535
0,2.621162709158576,1.5899992874565383,62,0,"FGR",1.5899992874565383,0,43382,19441,65535
0,2.5364205077197264,1.6010882596221507,61,0,"NTRK3",1.6010882596221507,0,41246,19683,65535
0,3.020409033539623,1.6361624711638596,58,0,"FLT4",1.6361624711638596,0,53445,20450,65535
0,2.4531870987374544,1.7260269962304506,47,0,"AXL",1.7260269962304506,0,39148,22413,65535
0,2.7565912064808864,1.7624562618571256,44,0,"IGF1R",1.7624562618571256,0,46796,23209,65535
0,3.2909801202643294,1.8082556444293036,40,0,"ROR1",1.8082556444293036,0,60265,24209,65535
0,2.4943339330305427,1.8204482088348124,39,0,"ERBB3",1.8204482088348124,0,40185,24475,65535
0,2.603773378343856,1.9665762445130504,31,0,"SRC",1.9665762445130504,0,42944,27667,65535
0,2.737647532663657,1.984305011473482,30,0,"YES1",1.984305011473482,0,46318,28055,65535
0,2.5969615426279518,2.0320777932694827,25,0,"MATK",2.0320777932694827,0,42772,29098,65535
0,2.737211196923413,2.0320777932694827,24,0,"INSR",2.0320777932694827,0,46307,29098,65535
0,3.4241023662413967,2.21838821750685,14,0,"RYK",2.21838821750685,0,63620,33168,65535
