.ci,.x,.y,.sids,.axisIndex,UKA_app.UKA.Kinase Name,UKA_app.UKA.Median Final score,.ri,.xs,.ys,.y0s
0,1.121820606,0.722345979,299,0,EPHA3,0.722345979,0,5591,488,65535
0,0.991401004,0.966576245,296,0,FLT1,0.966576245,0,2303,5823,65535
0,1.614746129,0.968316906,294,0,JAK2,0.968316906,0,18015,5861,65535
0,1.808780785,0.975350169,289,0,RET,0.975350169,0,22906,6014,65535
0,2.022080283,0.978017288,286,0,EGFR,0.978017288,0,28282,6073,65535
0,2.035595724,0.983401172,282,0,ITK,0.983401172,0,28623,6190,65535
0,1.655832576,0.994373406,278,0,FLT3,0.994373406,0,19051,6430,65535
0,1.840330401,0.997160332,275,0,KDR,0.997160332,0,23701,6491,65535
0,1.293981892,0.999028268,272,0,TYK2,0.999028268,0,9930,6532,65535
0,1.234969878,0.999806281,271,0,INSRR,0.999806281,0,8443,6549,65535
0,1.436915914,1.006105727,264,0,ROS1,1.006105727,0,13533,6686,65535
0,1.342632336,1.014268235,259,0,EPHB1,1.014268235,0,11156,6865,65535
0,1.988408555,1.020123979,257,0,FGFR1,1.020123979,0,27433,6993,65535
0,1.556249486,1.028057672,250,0,EPHB4,1.028057672,0,16541,7166,65535
0,1.699996567,1.029058352,249,0,JAK1,1.029058352,0,20164,7188,65535
0,1.958384439,1.030062502,248,0,BTK,1.030062502,0,26676,7210,65535
0,1.817359905,1.035118374,242,0,FGFR3,1.035118374,0,23122,7320,65535
0,1.444133035,1.03613665,241,0,EPHA4,1.03613665,0,13715,7342,65535
0,1.942951248,1.042296958,235,0,FES,1.042296958,0,26287,7477,65535
0,1.644854954,1.050669502,231,0,EPHA5,1.050669502,0,18774,7660,65535
0,1.904724945,1.051704427,230,0,MST1R,1.051704427,0,25324,7682,65535
0,2.121355601,1.053822941,225,0,ERBB4,1.053822941,0,30784,7729,65535
0,1.830270763,1.066755742,216,0,JAK3,1.066755742,0,23447,8011,65535
0,1.637558726,1.067856602,215,0,EPHA10,1.067856602,0,18590,8035,65535
0,2.217655408,1.086907039,208,0,CSK,1.086907039,0,33212,8451,65535
0,1.992498083,1.093837417,207,0,EPHA2,1.093837417,0,27536,8603,65535
0,2.21879592,1.098519883,203,0,SRMS,1.098519883,0,33240,8705,65535
0,1.99859866,1.104444865,198,0,FGFR2,1.104444865,0,27690,8834,65535
0,2.236984401,1.104444865,199,0,MERTK,1.104444865,0,33699,8834,65535
0,2.27875541,1.119003585,189,0,PTK6,1.119003585,0,34752,9152,65535
0,2.194724115,1.139206971,177,0,FGFR4,1.139206971,0,32634,9594,65535
0,2.121789051,1.140501442,176,0,FER,1.140501442,0,30795,9622,65535
0,2.263434754,1.145718255,174,0,ERBB2,1.145718255,0,34365,9736,65535
0,2.245155461,1.155001239,170,0,TXK,1.155001239,0,33905,9939,65535
0,2.092893568,1.167364851,169,0,EPHB3,1.167364851,0,30067,10209,65535
0,2.136717384,1.172967788,164,0,PTK7,1.172967788,0,31171,10331,65535
0,2.272198992,1.174184555,163,0,LYN,1.174184555,0,34586,10358,65535
0,2.325798244,1.185539306,156,0,ABL1,1.185539306,0,35937,10606,65535
0,2.214373941,1.195724233,151,0,EPHB2,1.195724233,0,33129,10828,65535
0,2.305495,1.198678628,150,0,NTRK1,1.198678628,0,35426,10893,65535
0,2.316862996,1.218388218,145,0,ABL2,1.218388218,0,35712,11324,65535
0,2.300141734,1.243158598,142,0,EPHA1,1.243158598,0,35291,11865,65535
0,2.274787273,1.260715898,133,0,EPHA7,1.260715898,0,34652,12248,65535
0,2.333061642,1.264145708,132,0,KIT,1.264145708,0,36120,12323,65535
0,2.381822367,1.298190328,123,0,FRK,1.298190328,0,37349,13067,65535
0,2.374061054,1.307878907,120,0,CSF1R,1.307878907,0,37154,13278,65535
0,2.366340882,1.329086515,114,0,BMX,1.329086515,0,36959,13742,65535
0,2.407900924,1.355916081,108,0,PTK2B,1.355916081,0,38007,14328,65535
0,2.416047177,1.360194879,107,0,NTRK2,1.360194879,0,38212,14421,65535
0,2.520968813,1.373290177,104,0,PDGFRA,1.373290177,0,40857,14707,65535
0,2.408365534,1.427500146,93,0,ALK,1.427500146,0,38018,15891,65535
0,2.500664522,1.469646596,87,0,PDGFRB,1.469646596,0,40345,16812,65535
0,2.442115444,1.510210211,83,0,PTK2,1.510210211,0,38869,17698,65535
0,2.466385912,1.519418213,80,0,MET,1.519418213,0,39481,17899,65535
0,2.445826853,1.525667162,78,0,TYRO3,1.525667162,0,38963,18036,65535
0,2.445130998,1.53844145,74,0,TEC,1.53844145,0,38945,18315,65535
0,2.56042136,1.551602897,71,0,LTK,1.551602897,0,41851,18602,65535
0,2.511027479,1.554956539,70,0,FYN,1.554956539,0,40606,18676,65535
0,2.621162709,1.589999287,62,0,FGR,1.589999287,0,43382,19441,65535
0,2.536420508,1.60108826,61,0,NTRK3,1.60108826,0,41246,19683,65535
0,3.020409034,1.636162471,58,0,FLT4,1.636162471,0,53445,20450,65535
0,2.453187099,1.726026996,47,0,AXL,1.726026996,0,39148,22413,65535
0,2.756591206,1.762456262,44,0,IGF1R,1.762456262,0,46796,23209,65535
0,3.29098012,1.808255644,40,0,ROR1,1.808255644,0,60265,24209,65535
0,2.494333933,1.820448209,39,0,ERBB3,1.820448209,0,40185,24475,65535
0,2.603773378,1.966576245,31,0,SRC,1.966576245,0,42944,27667,65535
0,2.737647533,1.984305011,30,0,YES1,1.984305011,0,46318,28055,65535
0,2.596961543,2.032077793,25,0,MATK,2.032077793,0,42772,29098,65535
0,2.737211197,2.032077793,24,0,INSR,2.032077793,0,46307,29098,65535
0,3.424102366,2.218388218,14,0,RYK,2.218388218,0,63620,33168,65535
0,2.788972063,2.303818413,12,0,LCK,2.303818413,0,47612,35034,65535
0,2.55167997,2.519418213,8,0,SYK,2.519418213,0,41631,39744,65535
0,2.587840518,2.519418213,9,0,ZAP70,2.519418213,0,42542,39744,65535
0,2.756906186,2.586365003,4,0,HCK,2.586365003,0,46804,41207,65535
0,3.23515135,3.665546249,0,0,BLK,3.665546249,0,58858,64781,65535
1,-17.40190291,0.970064572,292,0,JAK1,0.970064572,0,64336,5899,65535
1,-18.20046126,0.974024749,290,0,ROS1,0.974024749,0,61958,5985,65535
1,-19.42600957,0.98205103,283,0,PTK7,0.98205103,0,58307,6161,65535
1,-20.84449399,1.002788417,266,0,TYK2,1.002788417,0,54081,6614,65535
1,-26.14185068,1.010407814,262,0,FGFR1,1.010407814,0,38302,6780,65535
1,-25.53579295,1.012333735,261,0,FGR,1.012333735,0,40107,6822,65535
1,-26.60365032,1.019142523,258,0,FLT1,1.019142523,0,36926,6971,65535
1,-25.23220112,1.022093572,256,0,KIT,1.022093572,0,41011,7036,65535
1,-22.33159148,1.022594396,255,0,EPHB4,1.022594396,0,49652,7046,65535
1,-26.3434658,1.024072138,252,0,JAK2,1.024072138,0,37701,7079,65535
1,-24.62117918,1.040233798,237,0,JAK3,1.040233798,0,42831,7432,65535
1,-25.24509903,1.045410194,234,0,FGFR3,1.045410194,0,40973,7545,65535
1,-23.26207293,1.048085233,232,0,EPHB3,1.048085233,0,46880,7603,65535
1,-27.12202928,1.053822941,226,0,LTK,1.053822941,0,35382,7729,65535
1,-22.82749607,1.059176858,222,0,EPHA3,1.059176858,0,48174,7846,65535
1,-23.74354169,1.065663177,218,0,FLT4,1.065663177,0,45446,7987,65535
1,-23.43475208,1.07134077,214,0,INSRR,1.07134077,0,46366,8111,65535
1,-27.74063166,1.074481642,211,0,BTK,1.074481642,0,33539,8180,65535
1,-28.71217234,1.103253384,201,0,EGFR,1.103253384,0,30645,8808,65535
1,-28.66828743,1.103253384,202,0,ERBB3,1.103253384,0,30776,8808,65535
1,-26.94851874,1.106837678,195,0,FLT3,1.106837678,0,35899,8887,65535
1,-28.83019437,1.128987806,184,0,ZAP70,1.128987806,0,30294,9371,65535
1,-27.48268085,1.130252129,183,0,FGFR4,1.130252129,0,34307,9398,65535
1,-28.13148511,1.131520143,182,0,NTRK1,1.131520143,0,32375,9426,65535
1,-26.2977513,1.132911419,180,0,EPHA1,1.132911419,0,37837,9456,65535
1,-28.71429537,1.17278586,165,0,HCK,1.17278586,0,30639,10327,65535
1,-29.209181,1.175587769,161,0,SYK,1.175587769,0,29165,10389,65535
1,-27.63985023,1.186273863,155,0,EPHA5,1.186273863,0,33839,10622,65535
1,-27.82217915,1.191329985,153,0,FGFR2,1.191329985,0,33296,10732,65535
1,-27.71623778,1.193660536,152,0,ROR1,1.193660536,0,33612,10783,65535
1,-29.13915435,1.209180216,147,0,RET,1.209180216,0,29373,11122,65535
1,-28.98547643,1.259006068,134,0,EPHA4,1.259006068,0,29831,12211,65535
1,-29.39756419,1.26760624,130,0,FES,1.26760624,0,28603,12399,65535
1,-29.51649423,1.283529206,127,0,NTRK3,1.283529206,0,28249,12747,65535
1,-29.79354702,1.317241386,118,0,INSR,1.317241386,0,27424,13483,65535
1,-29.58441097,1.321153975,117,0,ALK,1.321153975,0,28047,13568,65535
1,-30.3607808,1.323123568,116,0,EPHB1,1.323123568,0,25734,13611,65535
1,-30.05592982,1.335137217,112,0,EPHA7,1.335137217,0,26642,13874,65535
1,-29.64487532,1.343326954,111,0,PTK2B,1.343326954,0,27867,14053,65535
1,-29.83160963,1.349575903,110,0,MATK,1.349575903,0,27310,14189,65535
1,-30.27089719,1.37998894,103,0,YES1,1.37998894,0,26002,14854,65535
1,-29.75367364,1.37998894,102,0,LYN,1.37998894,0,27543,14854,65535
1,-29.59643446,1.38224502,100,0,AXL,1.38224502,0,28011,14903,65535
1,-29.97161221,1.389084445,99,0,TXK,1.389084445,0,26893,15052,65535
1,-29.91726256,1.393704642,98,0,CSK,1.393704642,0,27055,15153,65535
1,-31.12120814,1.415126247,95,0,EPHA2,1.415126247,0,23469,15621,65535
1,-29.97081513,1.420033581,94,0,ERBB2,1.420033581,0,26896,15728,65535
1,-31.97445309,1.450702401,90,0,EPHB2,1.450702401,0,20927,16398,65535
1,-30.40886322,1.461426266,89,0,BMX,1.461426266,0,25591,16633,65535
1,-30.11814022,1.461426266,88,0,ABL1,1.461426266,0,26457,16633,65535
